DEBKGID;NNID;NAME;RS;OBA;KFZ;GEOLA;GEOBR;GKRE;GKHO;UTMRE;UTMHO
DEBKGDL20000E3MB;DEBKGGND00001AOR;Passau;09275;AX_KreisRegion (Landkreis);PA;131124;482947;3809711.1148929726;5381677.497018463;809511.0681915095;5379963.360794072
DEBKGDL20000E58K;DEBKGGND00001I0F;Passau;09262;AX_KreisRegion (Kreisfreie Stadt);PA;132512;483410;3826243.037731713;5390739.227840449;826036.2520219134;5389021.339752526
DEBKGDL20000E06B;DEBKGGND00001I18;Peine;03157;AX_KreisRegion (Landkreis);PE;101519;521815;3585694.4398012226;5797489.545355726;585587.8675979844;5795609.426846107
DEBKGDL20000E1NI;DEBKGGND00003ETH;Pfaffenhofen a.d. Ilm;09186;AX_KreisRegion (Landkreis);PAF;113127;483546;3686249.0028962158;5387352.5242460165;686098.8300681291;5385636.524055943
DEBKGDL20000E3GL;DEBKGGND00001HPR;Pforzheim;08231;AX_KreisRegion (Stadtkreis);PF;084157;485329;3478014.9679723866;5417141.562859502;477948.40555122023;5415414.184205767
DEBKGDL20000E44B;DEBKGGND00001A3W;Pinneberg;01056;AX_KreisRegion (Kreis);PI;094446;534300;3549330.400486712;5954205.929983357;549240.6252948345;5952263.780905126
DEBKGDL20000E6XG;DEBKGGND00001BHV;Pirmasens;07317;AX_KreisRegion (Kreisfreie Stadt);PS;073630;491151;3398641.12803931;5452074.625319212;398606.0649751846;5450333.569959059
DEBKGDL20000002K;DEBKGGND00001JCI;Plön;01057;AX_KreisRegion (Kreis);PLÖ;102148;541436;3588951.929893983;6013411.627249069;588847.5721735514;6011445.143018601
DEBKGDL20000DZK6;DEBKGGND00001I6N;Potsdam;12054;AX_KreisRegion (Kreisfreie Stadt);P;130313;522401;3775915.066268972;5815191.080031791;775732.4046813514;5813301.876682112
DEBKGDL20000E00C;DEBKGGND00001BM2;Potsdam-Mittelmark;12069;AX_KreisRegion (Landkreis);PM;124538;521334;3756982.7441617083;5794734.007739554;756807.3735232087;5792853.243450733
DEBKGDL20000E46W;DEBKGGND00001EJD;Prignitz;12070;AX_KreisRegion (Landkreis);PR;115742;530633;3698388.350901253;5890447.4366855305;698237.6643503236;5888528.999342093
DEBKGDL20000DZZW;DEBKGGND00001C3G;Rastatt;08216;AX_KreisRegion (Landkreis);RA  BH;082116;484342;3452587.6814874983;5399188.54179874;452531.2133491108;5397468.319458572
DEBKGDL20000E4ZT;DEBKGGND0000191D;Ravensburg;08436;AX_KreisRegion (Landkreis);RV;094648;474930;3558482.2289744564;5298829.612949503;558383.5394767502;5297149.649697202
